store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2since_week,promo2since_year,promo_interval,has_competition,year,month,day,week_of_year,is_weekend,sales_per_customer,competition_open_months,is_outlier
31,2,2014-11-04,6900,617,1,1,none,0,d,c,9800,7,2012,0,0,0,None,1,2014,11,4,45,0,11.18,28,FALSE
11,2,2014-09-23,6092,1038,1,0,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,9,23,39,0,5.87,34,FALSE
19,6,2015-06-06,5400,446,1,0,none,0,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2015,6,6,23,1,12.11,-1,FALSE
3,2,2015-03-24,5256,670,1,0,none,0,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,3,24,13,0,7.84,99,FALSE
23,1,2014-12-15,12466,800,1,1,none,0,d,a,4060,8,2005,0,0,0,None,1,2014,12,15,51,0,15.58,112,TRUE
2,4,2015-07-02,6189,921,1,1,none,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2015,7,2,27,0,6.72,92,FALSE
33,2,2014-12-30,10902,973,1,0,none,1,a,c,1320,5,2013,0,0,0,None,1,2014,12,30,1,0,11.2,19,FALSE
37,2,2014-11-18,4400,520,1,0,none,0,c,a,4230,12,2014,0,0,0,None,1,2014,11,18,47,0,8.46,0,FALSE
48,5,2014-08-22,4129,430,1,1,none,0,a,a,1060,5,2012,0,0,0,None,1,2014,8,22,34,0,9.6,27,FALSE
1,6,2014-08-16,4425,544,1,0,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,16,33,1,8.13,71,FALSE
28,6,2014-09-27,2627,316,1,0,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,9,27,39,1,8.31,0,FALSE
6,4,2015-07-23,3482,442,1,0,none,1,a,a,310,12,2013,0,0,0,None,1,2015,7,23,30,0,7.88,19,FALSE
