store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2since_week,promo2since_year,promo_interval,has_competition,year,month,day,week_of_year,is_weekend,sales_per_customer,competition_open_months,is_outlier
1,5,2014-08-01,5038,572,1,1,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,1,31,0,8.81,71,FALSE
2,5,2014-08-01,5434,620,1,1,none,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,8.76,81,FALSE
3,5,2014-08-01,7893,787,1,1,none,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,10.03,92,FALSE
4,5,2014-08-01,11112,1354,1,1,none,1,c,c,620,9,2009,0,0,0,None,1,2014,8,1,31,0,8.21,59,FALSE
5,5,2014-08-01,4381,562,1,1,none,1,a,a,29910,4,2015,0,0,0,None,1,2014,8,1,31,0,7.8,0,FALSE
6,5,2014-08-01,5931,635,1,1,none,1,a,a,310,12,2013,0,0,0,None,1,2014,8,1,31,0,9.34,8,FALSE
7,5,2014-08-01,11885,1264,1,1,none,1,a,c,24000,4,2013,0,0,0,None,1,2014,8,1,31,0,9.4,16,FALSE
8,5,2014-08-01,6115,689,1,1,none,1,a,a,7520,10,2014,0,0,0,None,1,2014,8,1,31,0,8.88,0,FALSE
9,5,2014-08-01,8424,693,1,1,none,1,a,c,2030,8,2000,0,0,0,None,1,2014,8,1,31,0,12.16,168,FALSE
10,5,2014-08-01,6997,716,1,1,none,1,a,a,3160,9,2009,0,0,0,None,1,2014,8,1,31,0,9.77,59,FALSE
11,5,2014-08-01,8908,1241,1,1,none,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,7.18,33,FALSE
12,5,2014-08-01,7786,936,1,1,none,1,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,8,1,31,0,8.32,-1,FALSE
14,5,2014-08-01,6584,710,1,1,none,1,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,9.27,5,FALSE
15,5,2014-08-01,7752,736,1,1,none,1,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,10.53,53,FALSE
16,5,2014-08-01,9102,964,1,1,none,1,a,c,3270,0,0,0,0,0,None,0,2014,8,1,31,0,9.44,-1,FALSE
17,5,2014-08-01,7958,968,1,1,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,8.22,104,FALSE
18,5,2014-08-01,8738,898,1,1,none,1,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,9.73,50,FALSE
19,5,2014-08-01,7663,690,1,1,none,1,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2014,8,1,31,0,11.11,-1,FALSE
21,5,2014-08-01,6535,615,1,1,none,1,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,10.63,178,FALSE
23,5,2014-08-01,6459,562,1,1,none,1,d,a,4060,8,2005,0,0,0,None,1,2014,8,1,31,0,11.49,108,FALSE
24,5,2014-08-01,11883,987,1,1,none,1,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,12.04,173,FALSE
25,5,2014-08-01,11359,1538,1,1,none,1,c,a,430,4,2003,0,0,0,None,1,2014,8,1,31,0,7.39,136,FALSE
26,5,2014-08-01,8314,629,1,1,none,1,d,a,2300,0,0,0,0,0,None,0,2014,8,1,31,0,13.22,-1,FALSE
27,5,2014-08-01,10268,1107,1,1,none,1,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,9.28,115,FALSE
28,5,2014-08-01,6711,690,1,1,none,1,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,8,1,31,0,9.73,0,FALSE
29,5,2014-08-01,8502,695,1,1,none,1,d,c,2170,0,0,0,0,0,None,0,2014,8,1,31,0,12.23,-1,FALSE
30,5,2014-08-01,5311,732,1,1,none,1,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2014,8,1,31,0,7.26,6,FALSE
31,5,2014-08-01,6744,645,1,1,none,1,d,c,9800,7,2012,0,0,0,None,1,2014,8,1,31,0,10.46,25,FALSE
33,5,2014-08-01,9132,837,1,1,none,1,a,c,1320,5,2013,0,0,0,None,1,2014,8,1,31,0,10.91,15,FALSE
34,5,2014-08-01,8598,1019,1,1,none,1,c,a,2240,9,2009,0,0,0,None,1,2014,8,1,31,0,8.44,59,FALSE
35,5,2014-08-01,12014,810,1,1,none,1,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,14.83,166,FALSE
37,5,2014-08-01,7953,846,1,1,none,1,c,a,4230,12,2014,0,0,0,None,1,2014,8,1,31,0,9.4,0,FALSE
38,5,2014-08-01,6732,548,1,1,none,1,d,a,1090,4,2007,0,0,0,None,1,2014,8,1,31,0,12.28,88,FALSE
39,5,2014-08-01,5512,692,1,1,none,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2014,8,1,31,0,7.97,94,FALSE
